MonthCalendar.PanelDateProduct	private MonthCalendar.Cell cell(java.util.Calendar, MonthCalendar.ToDay, java.awt.Component) 	calendar	B2	0/15
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	lblduracao	B10	2/4
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	lblhora	B1	3/6
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	lblhora	B10	2/4
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	lblperiodicidade	B1	3/6
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	lblperiodicidade	B10	2/4
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	lbltempo	B1	3/6
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	lbltempo	B10	2/4
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	periodicidade	B1	3/6
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	periodicidade	B10	2/4
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	tempo	B1	3/6
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	tempo	B10	2/4
Calendar.Calendar	private int getNumEvents(Calendar.CalendarEvent) 	equal	B1	3/6
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	lblsemanas	B1	6/12
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	lblsemanas	B10	5/10
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	lblsemanas	B12	4/8
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	semanas	B1	6/12
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	semanas	B10	5/10
Menu.GenerateMetting	public void actionPerformed(java.awt.event.ActionEvent) 	semanas	B12	4/8
Menu.GenerateMetting	private void data(java.awt.event.ActionEvent) 	gerar	B1	3/5
Menu.GenerateMetting	private void data(java.awt.event.ActionEvent) 	gerar	B2	2/4
ES_2022_LETI_Grupo_15.Projeto_ES.txtToObject	public static ArrayList<Calendar.CalendarEvent> findBestTime(ArrayList<Calendar.CalendarEvent>, java.lang.String, java.lang.String, ArrayList<java.lang.String>, java.time.LocalDate) throws java.io.FileNotFoundException, java.text.ParseException	reuniao	B8	5/7
ES_2022_LETI_Grupo_15.Projeto_ES.txtToObject	public static ArrayList<Calendar.CalendarEvent> findBestTime(ArrayList<Calendar.CalendarEvent>, java.lang.String, java.lang.String, ArrayList<java.lang.String>, java.time.LocalDate) throws java.io.FileNotFoundException, java.text.ParseException	reuniao	B9	4/6
ES_2022_LETI_Grupo_15.Projeto_ES.txtToObject	public static ArrayList<Calendar.CalendarEvent> findBestTime(ArrayList<Calendar.CalendarEvent>, java.lang.String, java.lang.String, ArrayList<java.lang.String>, java.time.LocalDate) throws java.io.FileNotFoundException, java.text.ParseException	reuniao	B8	5/7
ES_2022_LETI_Grupo_15.Projeto_ES.txtToObject	public static ArrayList<Calendar.CalendarEvent> findBestTime(ArrayList<Calendar.CalendarEvent>, java.lang.String, java.lang.String, ArrayList<java.lang.String>, java.time.LocalDate) throws java.io.FileNotFoundException, java.text.ParseException	reuniao	B9	4/6
Menu.AddMember	public void actionPerformed(java.awt.event.ActionEvent) 	files	B1	3/4
Menu.AddMember	public void actionPerformed(java.awt.event.ActionEvent) 	files	B2	2/3
Menu.AddMember	public void actionPerformed(java.awt.event.ActionEvent) 	nomes	B1	3/4
Menu.AddMember	public void actionPerformed(java.awt.event.ActionEvent) 	nomes	B2	2/3
Calendar.Calendar	private void drawDayHeadings() 	x	B3	3/4
Menu.AddMember	public void actionPerformed(java.awt.event.ActionEvent) 	filesMetting	B1	4/5
Menu.AddMember	public void actionPerformed(java.awt.event.ActionEvent) 	filesMetting	B2	3/4
Menu.AddMember	public void actionPerformed(java.awt.event.ActionEvent) 	nomesMetting	B1	4/5
Menu.AddMember	public void actionPerformed(java.awt.event.ActionEvent) 	nomesMetting	B2	3/4
